application,run,process_tree_ready_ms,cpu_percent,mean_pss_kib,peak_pss_kib,mean_rss_kib,peak_rss_kib,max_processes,max_threads,max_fds
Electron,1,206,0.133,331141.1,363526.0,756199.5,794156.0,8,74,255
GPUI,1,23,0.000,60071.2,60073.0,75792.0,75792.0,1,24,26
Electron,2,206,0.133,329859.4,357246.0,756062.9,788984.0,8,73,255
GPUI,2,23,0.000,60126.3,60131.0,75800.0,75800.0,1,24,26
Electron,3,204,0.117,330650.3,359410.0,755894.9,790184.0,8,74,255
GPUI,3,22,0.000,60156.1,60159.0,75896.0,75896.0,1,24,26
Electron,4,204,0.117,332145.7,364887.0,757722.7,795804.0,8,76,255
GPUI,4,23,0.000,60478.9,60480.0,76272.0,76272.0,1,24,26
Electron,5,201,0.117,329993.5,362923.0,756688.9,795348.0,8,75,255
GPUI,5,23,0.000,60067.2,60069.0,75812.0,75812.0,1,24,26
